story_id	publication_info
544	DS_II_H_430
545	DS_IV_1749
546	DS_II_E_108
547	DS_II_F_50
548	DS_II_G_323
549	DS_VI_95
550	DS_VII_1482
551	DS_II_F_104
552	DS_VI_66
553	DS_VI_720
554	DS_I_717
555	DS_II_F_71
556	DS_III_2292
557	DS_V_513
558	DS_IV_1696
559	DS_II_G_324
560	DS_IV_1405
561	DS_I_889
562	DS_IV_1478
563	DS_II_H_428
564	DS_V_47
565	DS_V_1376
566	DS_II_D_40
567	DS_IV_1120
568	DS_V_1265
569	DS_V_37
570	DS_III_122
571	DS_II_A_95
572	DS_II_A_96
573	DS_V_1546
574	DS_IV_1388
575	DS_IV_1407
576	DS_V_860
577	DS_V_900
578	DS_VI_431
579	DS_I_748
580	DS_VII_1399
581	DS_IV_1788
582	DS_V_1307
583	DS_I_1383
584	DS_I_266
585	DS_IV_1406
586	DS_VI_48
587	DS_VII_426
588	DS_VII_690
589	DS_II_E_158
590	DS_VII_700
591	DS_VII_612
592	DS_II_E_142
593	DS_V_1157
594	DS_V_1158
595	DS_II_F_18
597	DS_VI_122
598	DS_II_E_22
600	DS_II_G_87
601	DS_II_G_221
602	DS_II_E_211
603	DS_V_694
604	DS_VII_436
605	DS_IV_1566
606	DS_II_F_106
607	DS_II_E_42
608	DS_II_A_91
609	DS_II_B_4
610	DS_VI_323
611	DS_VI_471
612	DS_V_386
613	DS_V_248
614	DS_II_D_8
615	DS_IV_1381
616	DS_IV_1253
617	DS_I_807
618	DS_VI_886
619	DS_VII_106
620	DS_I_1354
621	DS_IV_1161
622	DS_II_F_2
623	DS_I_869
624	DS_I_50
625	DS_IV_1584
626	DS_II_C_91
627	DS_IV_1535
628	DS_VI_898
629	DS_IV_1682
630	DS_I_1122
631	DS_II_E_214
632	DS_III_2175
633	DS_VII_144
634	DS_IV_1591
635	DS_II_D_77
636	DS_IV_1593
637	DS_IV_1729
638	DS_IV_1287
639	DS_I_897
640	DS_V_133
641	DS_VI_1251
642	DS_VII_167
643	DS_VII_443
644	DS_VII_609
645	DS_VII_435
646	DS_III_2168
647	DS_V_1016
648	DS_IV_1678
649	DS_VI_150
650	DS_VI_478
651	DS_V_1443
652	DS_V_1164
653	DS_II_J_70
654	DS_I_593
655	DS_II_F_54
656	DS_II_E_119
657	DS_VI_899
658	DS_I_975
659	DS_VII_149
660	DS_II_F_8
661	DS_VII_527
662	DS_III_2180
663	DS_II_A_32
664	DS_II_E_217
665	DS_IV_1608
666	DS_V_215
667	DS_I_1124
668	DS_II_G_219
669	DS_IV_1447
670	DS_V_155
671	DS_I_960
672	DS_III_535
673	DS_VI_240
674	DS_VI_592
675	DS_II_E_170
676	DS_IV_1783
677	DS_IV_146
678	DS_VII_296
679	DS_IV_489
680	DS_I_1128
681	DS_VII_335
682	DS_IV_1787
683	DS_V_1195
684	DS_III_215
685	DS_IV_1680
686	DS_II_H_484
687	DS_IV_1762
688	DS_II_B_60
689	DS_VI_21
690	DS_III_1233
691	DS_II_E_115
692	DS_IV_1349
693	DS_VI_900
694	DS_VII_608
695	DS_I_1043
696	DS_II_A_118
697	DS_V_177
698	DS_IV_1378
699	DS_IV_1466
701	DS_VI_68
702	DS_VII_517
703	DS_II_B_211
704	DS_II_B_34
705	DS_VII_1179
706	DS_VII_577
707	DS_IV_1510
708	DS_IV_1512
709	DS_VII_1180
710	DS_V_1182
711	DS_IV_1239
712	DS_VII_1481
713	DSnr_VI_534
714	DS_II_A_106
715	DS_II_C_112
716	DS_I_639
717	DS_II_B_15
718	DS_II_B_36
719	DS_V_1111
720	DS_VII_110
721	DS_V_713
722	DS_I_1158
723	DS_IV_1679
724	DS_II_G_102
725	DS_V_1171
726	DS_II_A_74
727	DS_V_686
728	DS_V_804
729	DS_V_1501
730	DS_II_E_210
731	DS_II_G_88
732	DS_V_1091
733	DS_V_116
734	DS_II_B_20
735	DS_II_E_91
736	DS_III_2326
737	DS_II_B_188
738	DS_II_D_4
739	DS_III_527
740	DS_V_733
741	DS_VI_1004
742	DS_VII_576
743	DS_III_2228
744	DS_V_433
745	DS_II_F_32
746	DS_IV_1121
747	DS_III_2233
748	DS_V_730
749	DS_V_1002
750	DS_V_412
751	DS_IV_1687
752	DS_VII_141
753	DS_II_B_48
754	DS_II_D_109
755	DS_I_1164
756	DS_I_1340
757	DS_I_1414
758	DS_II_A_132
759	DS_II_A_26
760	DS_II_B_141
761	DS_II_D_99
763	DS_III_81
764	DS_II_C_104
765	DS_II_E_125
766	DS_V_1422
767	DS_II_B_41
768	DS_II_C_118
769	DS_VII_145
770	DS_IV_1481
771	DS_II_G_107
772	DS_VI_434
773	DS_II_E_144
774	DS_I_1
775	DS_I_1137
776	DS_II_A_50
777	DS_III_2164
