pers_id	pla_id	person_name	place	lat	lon	place_type	core_informant
447	869	Hans Kristian Larsen	Skibsby	57.4833	10.0215	residence	0
448	816	Karl Larsen	Kornerup	55.6339	11.9826	residence	0
449	774	Kristian Larsen	Finderup	55.5023	11.3091	residence	0
450	881	A. P. Lauritsen	Strandby	56.7872	9.21668	residence	0
451	742	Stine Lauritsen	Amerika	41.8819	-87.6278	residence	0
452	793	Dorte Lavrsdatter	Hesselbakke	57.4645	10.2516	residence	0
453	791	L. P. Lavrsen	Havlykke	54.8328	11.4289	residence	0
454	858	Th. Leth	Sale	56.2812	9.82669	residence	0
455	770	Elise Lindberg	Falster	54.8162	11.9077	residence	0
456	766	Anna Christ. Ludvigsen	Døstrup	55.1182	8.80444	residence	0
457	911	F. P. J. Lund	Vinten-Enner	55.908	9.74228	residence	0
458	398	Hans Lund	Madum Sø	56.8064	9.93258	residence	0
459	37	Niels Johannes Lund	Astrup	57.4803	10.097	residence	0
460	602	Sofie Lund	Støvring	56.8872	9.84135	residence	0
461	893	Poul Jeppesen Lystbæk	Torsted, Tim	56.2077	8.41856	residence	0
462	865	J. H. Madelung	Sjøring, Tisted	56.9591	8.59015	residence	0
463	760	Ane Marie Madsdatter	Brovst	57.0943	9.509	residence	0
464	752	Marianne Madsdatter	Bjærgby	56.8683	8.73114	residence	0
465	827	E. F. Madsen	Magleby	54.9861	12.4919	residence	0
466	767	Jens Madsen	Ellund	54.7955	9.31526	residence	0
467	878	P. K. Madsen	Staby	56.2645	8.24156	residence	0
467	924	P. K. Madsen	Gråkjær	56.7584	8.57489	residence	0
468	825	Tue Madsen	Lindeballe	55.7706	9.24203	residence	0
469	849	Hans Jensen Mand	Pilemark, Samsø	55.8412	10.601	residence	0
470	887	Søren Mand	Tanderup	55.841	10.5563	residence	0
472	338	Frederik Melbye	København	55.6796	12.6029	residence	0
473	746	M. Melbye	Asperup	55.4822	9.90727	residence	0
474	888	Kristen Meldgård	Tapdrup	56.4389	9.48691	residence	0
475	879	Karen Marie Mikkelsen	Sterregård	55.1041	10.4317	residence	0
476	848	Anna Moltke	Palsgård	55.6785	11.4822	residence	0
477	833	P. K. Munch	Nimtoft	56.4107	10.563	residence	0
478	823	M. Møller	Lime	56.3889	10.2484	residence	0
479	864	Niels Møller	Sjellerup	55.0005	9.86173	residence	0
480	773	Niels Kr. Møller	Fårup	56.3633	9.54445	residence	0
481	787	Otto Møller	Gylling	55.89	10.1699	residence	0
482	762	Signe Christensen Møller	Charlottenlund	55.751	12.5855	residence	0
483	776	Ane Katrine Nielsdatter	Fjellerup	56.5089	10.5861	residence	0
484	377	Ane Nielsen	Lisbjærg Terp	56.216	10.1905	residence	0
485	832	Anton Nielsen	Munkebjærgby	55.5074	11.5257	residence	0
486	808	Chr. Nielsen	Jelling	55.7541	9.41612	residence	0
487	860	H. P. Nielsen	Sejling	56.2176	9.52005	residence	0
488	821	Jens Nielsen	Lem	56.591	8.78439	residence	0
489	852	Joh. Nielsen	Randrup	56.7499	8.31272	residence	0
490	876	Jørgen Nielsen	Søllinge	55.2856	10.5368	residence	0
492	910	Lars Nielsen	Vinkel	56.4211	9.4982	residence	0
493	901	Lars Kristian Nielsen	Vangeskrog	57.2615	10.1662	residence	0
494	297	M. Nielsen	Hvidbjærg	56.651	8.5316	residence	0
495	814	M. Nielsen	Kongerslev	56.8837	10.1119	residence	0
496	750	M. C. Nielsen	Bælum	56.8287	10.1161	residence	0
497	763	Maren Nielsen	Dalager	56.8285	9.02887	residence	0
498	58	Morten Nielsen	Bjærggrav	56.4904	9.89689	residence	0
499	856	O. V. Nielsen	Romdrup-Klarup	57.0015	10.0385	residence	0
500	903	Peder Nielsen	Vejlø	55.1776	11.7535	residence	0
501	226	Peder Nielsen	Hald	56.6018	9.19759	residence	0
502	851	J. V. Nissen	Ramten	56.4379	10.6294	residence	0
503	796	Maren Noesgård	Holev	55.4094	10.5088	residence	0
504	872	C. C. Nørgård	Snedsted	56.8954	8.52354	residence	0
505	861	N. P. Olsen	Selsinggårde, Samsø	55.8343	10.5599	residence	0
506	908	Rasmus Olsen	Viemose, Kalvhave	55.0164	12.1399	residence	0
507	812	Morten Overgård	Kjelstrup, Tisted	56.9967	8.75359	residence	0
508	737	Else Marie Pedersdatter	Abildgård, Navtrup	56.7444	8.90908	residence	0
509	819	Kristiane Pedersdatter	Kvotrup, Mundelstrup	56.2162	10.0814	residence	0
510	859	Andreas Pedersen	Samsø	55.8278	10.5869	residence	0
511	790	Hans Kristian Pedersen	Haslund	56.419	10.0253	residence	0
512	789	Herman Pedersen	Hammerum	56.1371	9.06182	residence	0
513	62	Johannes Grønbæk Pedersen	Blegind	56.0699	10.0732	residence	0
514	871	L. Chr. Pedersen	Skjørtholt	57.4244	10.358	residence	0
515	820	Lars Pedersen	Langemark, Samsø	55.8479	10.6226	residence	0
516	741	Mathias Pedersen	Allerup, Varde	55.4478	8.61389	residence	0
517	786	N. Kr. Pedersen	Grynderup	56.7097	9.67191	residence	0
518	798	Søren Pedersen	Hosby	55.7472	10.0121	residence	0
519	771	H. Petersen	Fårbæk	56.3891	8.99743	residence	0
520	111	A. C. Poulsen	Dalby	55.4662	9.49367	residence	0
521	822	Anders H. Poulsen	Lervad	55.4558	8.95968	residence	0
522	889	Martinus Poulsen	Testrup	56.987	9.77588	residence	0
523	422	Maren Primdal	Navtrup	56.7463	8.9104	residence	0
524	840	Chr. Rasmussen	Ormitslev	55.3518	11.2424	residence	0
525	338	H. V. Rasmussen	København	55.6796	12.6029	residence	0
526	744	S. P. Rasmussen	Ås, Tvingstrup	55.9163	9.97233	residence	0
527	488	Ane Kirstine Refsgård	Rødding	56.6494	8.81116	residence	0
528	863	Jens Rod	Sinding	56.2097	9.4657	residence	0
529	837	A. H. Schade	Nykjøbing, Mors	56.7946	8.85868	residence	0
530	837	C. Schade	Nykjøbing, Mors	56.7946	8.85868	residence	0
531	557	Villads Skov	Snebjærg	56.1353	8.9051	residence	0
532	844	Kr. Skovmand	Øst Marie, Bornholm	55.1435	9.01851	residence	0
533	412	Mads Kristensen Skriver	Mollerup	56.1561	9.72682	residence	0
534	807	Jens Smed	Jævngyde	56.1125	9.81866	residence	0
535	881	Peder Jensen Smed	Strandby	56.7872	9.21668	residence	0
536	396	K. N. Stegger	Lystrup	56.2294	10.2374	residence	0
537	488	Hanne Storgård	Rødding	56.6494	8.81116	residence	0
538	809	Hjalmar Svendsen	Kirke Skjensved	55.5244	12.1193	residence	0
539	214	J. Søe	Gudum	56.5203	8.46656	residence	0
540	906	Karl Sørensen	Vester Tørslev	56.5967	9.90039	residence	0
541	792	Mikkel Sørensen	Herskind	56.1855	9.96324	residence	0
542	781	N. J. Termansen	Gammelby	55.5172	9.09125	residence	0
543	891	Johanne Marie Thomasdatter	Tirstrup	56.3004	10.6864	residence	0
544	912	C. Sørensen Thomaskjær	Virklund	56.1303	9.55943	residence	0
545	694	E. Thomsen	Vester Brønderslev	57.2583	9.95093	residence	0
546	862	Karen Toxværd	Sillestrup	54.7238	11.9657	residence	0
547	900	E. Trier	Vallekilde	55.5333	8.9554	residence	0
548	883	Johan Vorm	Sundby	56.881	8.67674	residence	0
549	826	Jens Jensen Vånde	Løt, Lendum	57.4112	10.3005	residence	0
550	111	Niels Nielsen Væver	Dalby	55.4662	9.49367	residence	0
551	890	Christian Weiss	Tingerup	56.4389	9.48691	residence	0
552	829	F. Wennerwald	Maribo	54.7743	11.5091	residence	0
553	913	J. L. West	Voldby	56.4632	10.8684	residence	0
554	913	J. L. West	Voldby	56.4632	10.8684	residence	0
559	234	Kristen Pedersen	Hals	56.9952	10.3066	residence	0
558	880	Niels Pedersen	Stjær	56.1167	9.95282	residence	0
556	850	Anders Ålborg	Rævhede	57.1662	9.69007	residence	0
557	915	Kristen Andersen	Vore, Rugsø	56.5239	10.2689	residence	0
562	919	Peter Juhl	Kirke Værløse	55.7849	12.3212	birthplace	0
562	338	Peter Juhl	København	55.6796	12.6029	residence	0
563	923	Dorthea Pedersdatter	Skjæve	57.288	10.3106	residence	0
564	863	Hans Andersen	Sinding	56.2097	9.4657	residence	0
566	927	Gunde Gundesen	Kjelst	55.5947	8.29601	residence	0
567	928	Kristian Kristensen Norge	Gøttrup	57.0551	9.21304	residence	0
568	436	Peder  Jensen Skrædder	Nørre Vissing	56.1249	9.84764	residence	0
570	950	Mads Christensen	Vester Grønning	56.6525	9.0522	residence	0
